Unnamed: 0,Athlete,Year,Time,Meet,Meet Date
,"Robinson, Luke",SO-2,4:17.71,Midwest Conference Indoor Championships,"Feb 23, 2024"
,"Robinson, Luke",SO-2,4:18.09,Liz Wuertz Indoor Meet,"Feb 17, 2024"
,"Robinson, Luke",SO-2,4:18.15,Darren Young Classic,"Feb 10, 2024"
,"Heagy, Connor",SO-2,4:19.25,Wartburg Qualifier,"Mar 1, 2024"
,"Heagy, Connor",SO-2,4:20.11,Midwest Conference Indoor Championships,"Feb 23, 2024"
,"Robinson, Luke",SO-2,4:24.23,Grinnell Invitational,"Jan 27, 2024"
,"Heagy, Connor",SO-2,4:24.25,Darren Young Classic,"Feb 10, 2024"
,"Heagy, Connor",SO-2,4:24.68,Liz Wuertz Indoor Meet,"Feb 17, 2024"
,"Goodell, Brian",SR-4,4:24.90,Liz Wuertz Indoor Meet,"Feb 17, 2024"
,"Heagy, Connor",SO-2,4:26.15,Grinnell Invitational,"Jan 27, 2024"
,"Snyder, James",SO-2,4:35.42,Midwest Conference Indoor Championships,"Feb 23, 2024"
,"Goodell, Brian",SR-4,4:37.96,Luther Invitational,"Feb 3, 2024"
,"Goodell, Brian",SR-4,4:38.76,Midwest Conference Indoor Championships,"Feb 23, 2024"
,"Hill, Ryan",FR-1,4:40.11,Liz Wuertz Indoor Meet,"Feb 17, 2024"
,"Hill, Ryan",FR-1,4:40.17,Darren Young Classic,"Feb 10, 2024"
,"Snyder, James",SO-2,4:41.50,Liz Wuertz Indoor Meet,"Feb 17, 2024"
,"Williams, Carter",JR-3,4:44.70,Darren Young Classic,"Feb 10, 2024"
,"Chestovich, Andy",SO-2,4:45.27,Luther Invitational,"Feb 3, 2024"
,"Williams, Carter",JR-3,4:45.38,Liz Wuertz Indoor Meet,"Feb 17, 2024"
,"Manza, Sebastian",FR-1,4:46.21,Liz Wuertz Indoor Meet,"Feb 17, 2024"
,"Welch-Groves, Cameron",SO-2,4:47.29,Hilltop Invitational,"Jan 20, 2024"
,"Williams, Carter",JR-3,4:47.48,Hilltop Invitational,"Jan 20, 2024"
,"Snyder, James",SO-2,4:48.98,Hilltop Invitational,"Jan 20, 2024"
,"Manza, Sebastian",FR-1,4:50.09,Luther Invitational,"Feb 3, 2024"
,"Beck, Sam",FR-1,4:50.51,Liz Wuertz Indoor Meet,"Feb 17, 2024"
,"Hill, Ryan",FR-1,4:55.07,Hilltop Invitational,"Jan 20, 2024"
,"Ching, Tyler",SO-2,4:57.97,Liz Wuertz Indoor Meet,"Feb 17, 2024"
,"Beck, Sam",FR-1,4:59.02,Hilltop Invitational,"Jan 20, 2024"
,"Ching, Tyler",SO-2,5:01.79,Hilltop Invitational,"Jan 20, 2024"
,"Turner, Ezra",SO-2,5:20.29,Darren Young Classic,"Feb 10, 2024"
,"Turner, Ezra",SO-2,5:21.16,Luther Invitational,"Feb 3, 2024"
,"Turner, Ezra",SO-2,5:30.60,Grinnell Invitational,"Jan 27, 2024"
