""
IMAGE,NO.,NAME,CAPTAIN,POS.,HT.,YR.,HOMETOWN / HIGH SCHOOL
,1,Kaylin Kuhn,,OH,5-10,Jr.,"Bettendorf, Iowa / Bettendorf"
,2,Abbie Smith,,S/RS,6-0,Fr.,"Chicago, Ill. / Northside College Preparatory"
,4,Rachel Woock,,OH,5-9,Fr.,"Carmel, Ind. / Carmel"
,5,Madison Smith,,DS,5-4,Sr.,"Ballwin, Mo. / John Burroughs School"
,6,Avery Richardson,,OH,5-9,Fr.,"Oklahoma City, Okla. / Heritage Hall Upper School"
,7,Anna Killin,,MB,6-0,So.,"St. Augustine, Fla. / St. Augustine"
,8,Julia Welch,,DS,5-9,So.,"Minneapolis, Minn. / Washburn"
,9,Emmy Nyquist,,DS,5-5,Fr.,"Highland, Ill. / Highland"
,10,Julianna Roth,,S,5-10,So.,"Palo Alto, Calif. / Palo Alto"
,11,Olivia Jensen,,MB,6-0,So.,"Lino Lakes, Minn. / Centennial"
,12,Sophia Carbajal,,MB,5-11,Jr.,"Cave Creek, Ariz. / Paradise Valley Christian Prep"
,13,Alissa Johnson,,OH,5-10,Sr.,Paris / Shanghai Community International School Hongqiao
,15,Hannah Taylor,,OH,6-1,Jr.,"Colorado Springs, Colo. / Colorado Springs"
,20,Payton Lowrey,,DS,5-10,So.,"St. Louis, Mo. / Cor Jesu Academy"
,23,Sophie Smith,,OH,6-0,Fr.,"Chicago, Ill. / Lane Technical"
,Mgr,Alyssa Stevens,,,-,Fr.,/
