""
IMAGE,NO.,NAME,CAPTAIN,POS.,HT.,YR.,HOMETOWN / HIGH SCHOOL
,1,Kaylin Kuhn,,OH,5-10,Sr.,"Bettendorf, Iowa / Bettendorf"
,2,Amelia Adam,,OH,5-9,Fr.,"San Diego, Calif. / Torrey Pines"
,3,Malaina Miles,,MB,6-2,So.,"Franklin, Tenn. / Independence"
,4,Rachel Woock,,OH,5-9,Jr.,"Carmel, Ind. / Carmel"
,5,Julianna Vajda,,OH,5-9,So.,"Boca Raton, Fla. / Spanish River Community"
,6,Avery Richardson,,OH,5-9,Jr.,"Oklahoma City, Okla. / Heritage Hall Upper School"
,7,Anna Killin,,MB,6-0,Jr.,"St. Augustine, Fla. / St. Augustine"
,9,Emmy Nyquist,,DS,5-5,So.,"Highland, Ill. / Highland"
,10,Julianna Roth,,S,5-10,Sr.,"Palo Alto, Calif. / Palo Alto"
,11,Olivia Jensen,,MB,6-0,Sr.,"Lino Lakes, Minn. / Centennial"
,13,Jenna Keller,,OH,6-0,So.,"Perry, Kan. / Perry-LeCompton"
,14,Emily Brewer,,S,5-9,So.,"Fishers, Ind. / Fishers"
,15,Sophie Weber,,DS,5-9,Fr.,"Carmel, Ind. / Brebeuf Jesuit Preparatory School"
,21,Ella O'Neill,,MB,6-0,Fr.,"Chicago, Ill. / Mother McAuley"
,23,Sophie Smith,,OH,6-0,Jr.,"Chicago, Ill. / Lane Technical"
,33,Payton Lowrey,,DS,5-10,Jr.,"St. Louis, Mo. / Cor Jesu Academy"
