Unnamed: 0,Athlete,Year,Time,Meet,Meet Date
,"Robinson, Luke",FR-1,4:24.52,Luther Invitational,"Feb 4, 2023"
,"Heagy, Connor",FR-1,4:26.02,Luther Invitational,"Feb 4, 2023"
,"Nickeson, Andrew",SR-4,4:28.23,Liz Wuertz Indoor Meet,"Feb 18, 2023"
,"Miller, John",FR-1,4:37.63,Liz Wuertz Indoor Meet,"Feb 18, 2023"
,"Ramsey, Bradley",JR-3,4:39.83,Liz Wuertz Indoor Meet,"Feb 18, 2023"
,"Chestovich, Andy",FR-1,4:40.68,Hilltop Invitational,"Jan 21, 2023"
,"Krysan, Mark",SO-2,4:48.08,Liz Wuertz Indoor Meet,"Feb 18, 2023"
,"Cantor, Micah",JR-3,4:50.66,Hilltop Invitational,"Jan 21, 2023"
,"Snyder, James",FR-1,4:53.63,Darren Young Classic,"Feb 11, 2023"
,"Welch-Groves, Cameron",FR-1,4:57.86,Darren Young Classic,"Feb 11, 2023"
,"Williams, Carter",SO-2,5:00.88,Hilltop Invitational,"Jan 21, 2023"
,"Ching, Tyler",FR-1,5:01.53,Darren Young Classic,"Feb 11, 2023"
,"Boev, Ryan",SO-2,5:07.05,Hilltop Invitational,"Jan 21, 2023"
,"Short, Ben",JR-3,5:31.01,Hilltop Invitational,"Jan 21, 2023"
