""
IMAGE,NAME,YR.,HOMETOWN / HIGH SCHOOL
,David Achio Mendez,Jr.,"San Jose, Costa Rica / Lester B. Pearson Coll. Pacific"
,Rick Bigler,Jr.,"Flagstaff, Ariz. / Flagstaff"
,Andrew Bostrom,Fr.,"Minneapolis, Minn. / South"
,Jerry Brown,So.,"Riverside, Ill / Riverside-Brookfield"
,Michael Brus,So.,"Davenport, Iowa / North"
,Austin Cote,Fr.,"Bradley, Ill. / Bradley-Bourbonnais"
,Sebastian De Pascuale,Sr.,"Gambier, Ohio / Mt. Vernon"
,Erik Dixon-Anderson,So.,"Princeton Junction, N.J. / West Windsor-Plainsboro"
,Chris Dorman,Sr.,"Albert Lea, Minn. / Albert Lea"
,Ethan Drutchas,Jr.,"Bloomfield Heights, Mich. / Denison Univ."
,William Elsas,So.,"Madison, Wis. / West"
,Gus Fulgoni,Fr.,"Kalamazoo, Mich. / Plainswell"
,Marco (Max) Fulgoni,Sr.,"Kalamazoo, Mich. / Plainswell"
,Milton Garcia,So.,"Rockville, MD / Albert Einstein Senior"
,Dylan Gray,So.,"Chico, Calif. / Pleasant Valley"
,Vernon Jackson,Fr.,"Chicago, Ill / Deerfield Academy"
,Chris Kaiser-Nyman,Jr.,"Sacramento, Calif. / McClatchy Senior High"
,James Kent,So.,"Des Moines, IA / Hoover"
,Forrest Knapp,Fr.,"Maple Grove, Minn. / Maple Grove"
,Alec Knight,Jr.,"Ames, IA / Ames"
,Collin Kramer,Fr.,"Iowa City, IA / West"
,Nathan Krishnan,Sr.,"Rockville, MD / Wootton"
,Thomas Lankiewicz,Sr.,"Oconomowoc, Wisc. / Kettle Moraine"
,Joe Lytle,So.,"Leawood, Kan. / Blue Valley North"
,Nathan Mannheimer,Sr.,"Seattle, Wash. / Roosevelt"
,Eric Mistry,So.,"West Des Moines, IA / Valley"
,Bill Mogavero,Sr.,"Haverton, Pa. / Haverford Township"
,Austin Morris,Fr.,"Chicago, Ill / University Chicago Lab School"
,Thomas Pritchard,So.,"Chevy Chase, MD / Bethesda Chevy Chase"
,Michael Riegsecker,Fr.,"Goshen, Ind. / Goshen"
,Beck Ringdahl-Mayland,Jr.,"Minneapolis, Minn. / Southwest Secondary"
,Isaiah Sarju,Jr.,"Seattle, Wash. / James Garfield"
,Michael Schoelz,Sr.,"Columbia, MO / Rock Bridge"
,Tefiro Serunjogi,Fr.,"Kampala, Uganda / Aga Khan"
,Samuel Sherwood,Sr.,"Seattle, Wash. / Roosevelt"
,Keith Siegel,So.,"Sacramento, Calif. / C.K. McClatchy Senior"
,Joseph Sinnwell,Sr.,"Greeley, Colo. / Greeley Central"
,Emanuel Spooner,Jr.,"Urbana, Ill. / Urbana"
,Kohei Takatsuka,Jr.,"Tokyo, Japan / Gakushuin Boys Senior High"
,Ben Vaughn,Fr.,"Columbia, MD / Atholton"
,Ben Weideman,Fr.,"Iowa City, IA / City High"
,Pun Winichakul,Jr.,"Madison, Wis. / West"
,Chris Woodington,Fr.,"Woodbridge, CT / Amity"
,Colin Yarnell,Sr.,"Narbeth, PA / Friends Cental School"
,Marcus Zeitz,Sr.,"Redmond, Wash. / Redmond"
