""
IMAGE,NO.,NAME,CAPTAIN,POS.,HT.,WT.,YR.,HOMETOWN / HIGH SCHOOL
,00,Carter Benson,,GK,6-4,190,So.,"Macomb, Ill. / Macomb"
,1,Jefferson Kolmer,,GK,6-1,220,So.,"Peoria, Ill. / Richwoods"
,2,Braden Nihei,,D,5-10,165,So.,"Honolulu, Hawaii / Iolani School"
,4,Theo Colaiace,,D,5-7,145,Sr.,"Providence, R.I. / Wheeler School"
,5,Peter Murphy,,M/F,5-9,145,Fr.,"Cambridge, Mass. / Cambridge Rindge Latin School"
,6,Zak Serby,,M,5-10,155,Fr.,"Mundelein, Ill. / Mundelein"
,7,Davis Provost,,F,5-10,160,Jr.,"Inver Grove Heights, Minn. / Simley"
,8,Dylan Maddux,,M/F,5-10,150,Fr.,"Chapel Hill, N.C. / East Chapel Hill"
,9,Henry Cladouhos,,F,5-7,140,Sr.,"Seattle, Wash. / James A. Garfield"
,10,Jasper Yang,,M/F,5-10,155,Sr.,"Stow, Mass. / Nashoba Regional"
,11,Noah Guyton,,F,6-0,165,Jr.,"Carbondale, Ill. / Carbondale"
,12,Owen Wilson,,D,5-11,165,Fr.,"Apex, N.C. / Apex Friendship"
,13,Oliver Northing,,M,5-10,155,Fr.,"Alamo, Calif. / Athenian School"
,14,Ray Goedeker,,F,6-1,175,Sr.,"St. Louis, Mo. / St. Louis University High"
,16,Oscar Angell,,F,5-9,150,Fr.,"Spokane, Wash. / St. Georges School"
,17,Sam Naik,,M,6-0,170,Sr.,"Onalaska, Wis. / Onalaska"
,18,Ryota Matsunaga,,M,6-1,170,So.,"Urayasu, Japan / Ritsumeikan Uji"
,19,Sam Heller,,F,6-1,155,Jr.,"Grey Eagle, Minn. / Melrose"
,20,Sam Bayliss,,D,5-11,165,So.,"Lawrence, Kan. / Bishop Seabury Academy"
,21,Nate Girard,,D,6-1,180,Jr.,"Milton, Wis. / Milton"
,22,Caleb Hoereth,,D,6-2,190,So.,"Flossmoor, Ill. / Homewood-Flossmoor"
,23,Zeke Miller,,D,6-0,160,Sr.,"Providence, R.I. / Wheeler School"
,24,Matias Bambi,,M,5-9,145,Jr.,"Madison, Wis. / West"
,25,Antonio Bernardo,,D,5-10,155,So.,"Seattle, Wash. / University Preparatory Academy"
,26,Dylan Laurianti,,D,5-8,145,Jr.,"Northfield, Ohio / University School"
,27,Caleb Burns,,D,5-10,155,So.,"Winston Salem, N.C. / Oak Grove"
,31,Mason O'Bryan,,GK,5-8,150,Fr.,"Elkhorn, Neb. / Creighton Preparatory School"
,,Aruan Shaukenov,,,-,,Fr.,"Almaty, Kazakhstan /"
