""
IMAGE,NO.,NAME,CAPTAIN,POS.,HT.,WT.,YR.,HOMETOWN / HIGH SCHOOL
,00,John Riley O'Toole,,GK,6-0,180,So.,"Columbus, Ohio / Wellington School"
,7,Davis Provost,,F,5-10,160,So.,"Inver Grove Heights, Minn. / Simley"
,10,Jasper Yang,,F,5-10,155,Sr.,"Stow, Mass. / Nashoba Regional"
,11,Noah Guyton,,F,6-0,165,So.,"Carbondale, Ill. / Carbondale"
,13,Henry Cladouhos,,F,5-7,140,Jr.,"Seattle, Wash. / James A. Garfield"
,14,Ray Goedeker,,F,6-1,175,Jr.,"St. Louis, Mo. / St. Louis University High"
,16,Max Sorenson,,M,6-0,150,Jr.,"Wausau, Wis. / Wausau East"
,17,Sam Naik,,M,6-0,170,Sr.,"Onalaska, Wis. / Onalaska"
,18,Ryota Matsunaga,,M,6-1,170,So.,"Urayasu, Japan / Ritsumeikan Uji"
,19,Theo Colaiace,,D,5-7,145,Jr.,"Providence, R.I. / Wheeler School"
,20,Gilberto Perez,,D,5-10,155,Sr.,"Hanover Park, Ill. / Hoffman Estates"
,21,Nate Girard,,D,6-1,180,So.,"Milton, Wis. / Milton"
,23,Zeke Miller,,D,6-0,160,Sr.,"Providence, R.I. / Wheeler School"
,24,Matias Bambi,,M,5-9,145,So.,"Madison, Wis. / West"
,25,Rudy Vega,,F/D,5-8,145,Jr.,"Stamford, Conn. / King Low-Heywood Thomas School"
,26,Kian Djamali,,D,5-11,150,Jr.,"Cross Plains, Wis. / Middleton"
,28,Michael Spicer,,F,6-3,200,Sr.,"Elgin, S.C. / Spring Valley"
,,Sam Bayliss,,,-,,Fr.,"Lawrence, Kan. / Bishop Seabury Academy"
,,Carter Benson,,,-,,Fr.,"Macomb, Ill. / Macomb"
,,Antonio Bernardo,,,-,,Fr.,"Seattle, Wash. / University Preparatory Academy"
,,Caleb Burns,,,-,,Fr.,"Winston Salem, N.C. / Oak Grove"
,,Lincoln Draper,,,-,,Fr.,/
,,Henry Goetz,,,-,,Fr.,"Evanston, Ill. / Loyola Academy"
,,Sam Heller,,M,6-1,155,So.,"Grey Eagle, Minn. / Melrose"
,,Caleb Hoereth,,,-,,Fr.,"Flossmoor, Ill. / Homewood-Flossmoor"
,,Kyle Kobayashi,,D,5-7,140,So.,"Highland Park, Ill. / J.B. Conant"
,,Jefferson Kolmer,,,-,,Fr.,"Peoria, Ill. / Richwoods"
,,Dylan Laurianti,,D,5-8,145,So.,"Northfield, Ohio / University School"
,,Braden Nihei,,,-,,Fr.,"Honolulu, Hawaii / Iolani School"
,,Nick Parker,,D,5-10,150,So.,"Chapel Hill, N.C. / East Chapel Hill"
