""
IMAGE,NO.,NAME,CAPTAIN,POS.,HT.,WT.,YR.,HOMETOWN / HIGH SCHOOL
,1,Jared Cloutier,,GK,6-4,180,Jr.,"Portland, Ore. / Oregon Episcopal School"
,2/00,Ben Heller,,F/GK,6-0,160,Jr.,"Grey Eagle, Minn. / Melrose"
,4,Thomas Pflipsen,,D,6-0,165,Jr.,"Fargo, N.D. / South"
,5,Mikoto Kobayashi,,F,5-11,155,Jr.,"Highland Park, Ill. / J.B. Conant"
,6,Zac Reeves,,M,5-10,165,Jr.,"Rochester, Minn. / Mayo"
,7,Noah Fluharty,,M/F,5-10,165,Sr.,"Oak Park, Ill. / Oak Park River Forest"
,8,Keegan Kaas,,F,5-10,160,Fr.,"Portland, Ore. / Catlin Gabel School"
,9,Kyle Buse,,M,5-10,150,Jr.,"Los Alamitos, Calif. / Los Alamitos"
,10,Jasper Yang,,F,5-10,155,So.,"Stow, Mass. / Nashoba Regional"
,11,Evan Sorenson,,M,6-0,160,Sr.,"Wausau, Wis. / Wausau East"
,12,Az Fuller,,F,5-8,140,Fr.,"Brooklyn, N.Y. / Beacon School"
,13,Henry Cladouhos,,F,5-7,140,Fr.,"Seattle, Wash. / James A. Garfield"
,14,Ray Goedeker,,F,6-1,175,Fr.,"St. Louis, Mo. / St. Louis University High"
,15,Caleb Ritter,,F,5-8,145,So.,"West Hartford, Conn. / William Hall"
,16,Max Sorenson,,F,6-0,150,Fr.,"Wausau, Wis. / Wausau East"
,17,Sam Naik,,M,6-0,170,So.,"Onalaska, Wis. / Onalaska"
,19,Theo Colaiace,,D,5-7,145,Fr.,"Providence, R.I. / Wheeler School"
,20,Gilberto Perez,,D,5-10,150,So.,"Hanover Park, Ill. / Hoffman Estates"
,21,Muhammad Saad Qureshi,,F,6-0,155,So.,"Islamabad, Pakistan / Lahore Grammar School Islamabad"
,23,Zeke Miller,,D,6-0,160,So.,"Providence, R.I. / Wheeler School"
,24,Rudy Vega,,F/D,5-8,145,Fr.,"Stamford, Conn. / King Low-Heywood Thomas School"
,26,Kian Djamali,,D,5-11,150,Fr.,"Cross Plains, Wis. / Middleton"
,27,Zach Steinberg,,D,6-0,170,Jr.,"Parsippany, N.J. / Parsippany Hills"
,,Michael Spicer,,GK,6-3,200,So.,"Elgin, S.C. / Spring Valley"
