""
IMAGE,NO.,NAME,CAPTAIN,POS.,HT.,WT.,YR.,HOMETOWN / HIGH SCHOOL
,0,Michael Spicer,,GK,6-3,200,Fr.,"Elgin, S.C. / Spring Valley"
,00,Michael Nattinger,,GK,6-0,165,Sr.,"Brookfield, Wis. / Brookfield Central"
,1,Jared Cloutier,,GK,6-4,180,So.,"Portland, Ore. / Oregon Episcopal School"
,2,Francisco Sanchez-Conde,,M,5-7,165,Sr.,"St. Louis, Mo. / John Burroughs School"
,3,Leo Ewing,,D,6-0,165,So.,"Columbia, Mo. / Hickman"
,4,Michael Kamp,,M/D,5-6,140,Sr.,"Madison, Wis. / West"
,5,Mikoto Kobayashi,,F,5-10,155,So.,"Highland Park, Ill. / J.B. Conant"
,6,Artis Curiskis,,M,5-11,160,Sr.,"Minneapolis, Minn. / Saint Louis Park"
,7,Noah Fluharty,,M/D,5-10,165,Jr.,"Oak Park, Ill. / Oak Park River Forest"
,8,Antonio DiMarco,,F,6-3,175,Sr.,"Clear Lake, Iowa / Clear Lake"
,9,Kyle Buse,,M,5-10,150,So.,"Los Alamitos, Calif. / Los Alamitos"
,10,Carlos Piedrasanta,,F,6-0,170,So.,"Rockville, Md. / Rockville"
,11,Evan Sorenson,,M,6-0,160,Jr.,"Wausau, Wis. / Wausau East"
,12,Jasper Yang,,F,5-10,155,Fr.,"Stow, Mass. / Nashoba Regional"
,13,Nikolai Harroun,,D,5-10,165,Sr.,"Longmont, Colo. / Longmont Senior High"
,14,Juan Marin,,M,5-7,145,Sr.,"Pembroke Pines, Fla. / Charles W. Flanagan"
,15,Caleb Ritter,,M,5-8,145,Fr.,"West Hartford, Conn. / William Hall"
,16,Zach Thal,,M/D,5-10,155,Sr.,"Madison, Wis. / West"
,17,Sam Naik,,M,6-0,170,Fr.,"Onalaska, Wis. / Onalaska"
,18,Nico Herzberg,,M,5-11,170,Jr.,"Santiago, Chile / International School Nico De Aguilas"
,19,Thomas Pflipsen,,D,6-0,165,So.,"Fargo, N.D. / South"
,20,Papa Kojo Ampim-Darko,,F,5-8,130,Jr.,"Osu, Accra, Ghana / Merton International School"
,21,Zac Reeves,,M,5-10,165,So.,"Rochester, Minn. / Mayo"
,22,Tommy O'Donnell,,F/D,5-11,145,So.,"Plymouth, England / Devenport High School for Boys"
,23,Matt Record,,F,5-9,150,So.,"Deerfield, Ill. / Deerfield"
,24,Ben Heller,,M,6-0,160,So.,"Grey Eagle, Minn. / Melrose"
,25,Jeff Li,,D,5-9,155,Sr.,"Chicago, Ill. / University of Chicago Lab School"
,27,Zach Steinberg,,D,6-0,170,So.,"Parsippany, N.J. / Parsippany Hills"
,28,Eric Paige,,D,5-9,150,Jr.,"Santa Fe, N.M. / Los Alamos"
,29,Sam Collins,,D,5-8,150,Jr.,"Roscoe, Ill. / Hononegah"
,,Minu Bidzimou,,D,5-7,145,Sr.,"Silver Spring, Md. / Montgomery Blair"
,,Jackson Ferguson,,F,5-11,170,Fr.,"Liberty, Mo. / Liberty"
,,Jackson Holcomb,,D,5-7,145,Jr.,"Ames, Iowa / Gilbert"
,,Sidney Hotchkiss,,M,5-11,150,So.,"Seattle, Wash. / Benjamin Franklin"
,,Zeke Miller,,D,6-0,160,Fr.,"Providence, R.I. / Wheeler School"
,,Gilberto Perez,,D,5-10,140,Fr.,"Hanover Park, Ill. / Hoffman Estates"
,,Enrique Rueda,,D,5-10,165,So.,"Chicago, Ill. / Francis W. Parker"
,,Muhammad Saad Qureshi,,D,5-11,150,Fr.,"Islamabad, Pakistan / Lahore Grammar School Islamabad"
