""
IMAGE,NAME,CAPTAIN,YR.,HOMETOWN / HIGH SCHOOL
,Ryan Boev,,Fr.,"Plainsboro, N.J. / West Windsor-Plainsboro"
,Eli Brotman,,Fr.,"St. Paul, Minn. / Cretin-Derham Hall"
,Micah Cantor,,So.,"Hastings on the Hudson, N.Y. / Hastings"
,Brian Goodell,,So.,"Northfield, Minn. / Northfield"
,Kody Harrison,,Sr.,"Paxton, Ill. / Paxton Buckley Loda"
,Ben Harvey,,Sr.,"Elk River, Minn. / Spectrum"
,Neil Israni,,Sr.,"Bangalore, India / Mallya Aditi International"
,Matt Lieberman,,Sr.,"Ann Arbor, Mich. / Pioneer"
,Andrew Nickeson,,Jr.,"Lincoln, Neb. / Lincoln Southwest"
,Declan O'Reilly,,Sr.,"Wilmette, Ill. / New Trier Township"
,Bradley Ramsey,,So.,"Grimes, Iowa / Dallas Center-Grimes"
,Zeke Reilly,,Fr.,"Leyden, Mass. / Landmark School"
,Sam Rowekamp,,Sr.,"Rochester, Minn. / Mayo"
,Ben Short,,So.,"Ridgefield, Conn. / Fairfield College Preparatory"
,Spencer Skidmore,,So.,"Mountain Brook, Ala. / Altamont School"
,Daniel Snyder,,Sr.,"Statesville, N.C. / Forsyth Country Day School"
,Matt Tromba,,Fr.,"Stamford, Conn. / Stamford"
,Matthew Wedzina,,So.,"Mankato, Minn. / East"
,Carter Williams,,Fr.,"Dallas, Texas / Jesuit College Preparatory"
