""
IMAGE,NO.,NAME,CAPTAIN,POS.,B/T,HT.,WT.,YR.,HOMETOWN / HIGH SCHOOL
,2,Ryan Galang,,OF,R/R,6-0,185,Jr.,"Corona, Calif. / Centennial"
,3,Kory Czajkowski,,2B/SS,R/R,5-9,157,Fr.,"Lake Orion, Mich. / Notre Dame Preparatory"
,4,Carson Gampell,,1B,R/R,6-4,190,Fr.,"Los Altos, Calif. / Menlo School"
,5,Niko Takayesu,*,SS/2B,L/R,5-7,150,Sr.,"Kailua, Hawaii / Punahou School"
,6,Jacob Bernholtz,,OF,R/R,5-8,185,Sr.,"Huxley, Iowa / Ballard"
,7,Ravi Levens,,SS/3B,R/R,5-10,170,So.,"Palo Alto, Calif. / Gunn"
,8,Teague Towner,,SS/2B,L/R,6-0,175,Sr.,"Ventura, Calif. / Ventura"
,9,Noah Daniel,,C,R/R,5-11,185,So.,"Gurnee, Ill. / Warren Township"
,10,Michael Slattery,,3B/P,S/R,6-0,168,Jr.,"Lexington, S.C. / Governor School of Science and Math"
,11,Sam Lopez,,P,R/R,5-11,165,Jr.,"Fairfax, Calif. / Bay School San Francisco"
,12,Nathan Zaroban,,OF,R/R,5-10,180,Jr.,"Nebraska City, Neb. / Nebraska City"
,13,Andrew Mack,,P,R/L,6-3,170,Jr.,"Libertyville, Ill. / Libertyville"
,15,Conor Monigal,,OF,L/R,6-1,180,Sr.,"Glen Mills, Pa. / Archmere Academy"
,16,Benjamin Wong,,2B/SS,R/R,6-0,165,Jr.,"San Jose, Calif. / Evergreen Valley"
,17,Brad Weaver,,OF,R/R,6-0,185,Jr.,"Riverwoods, Ill. / Deerfield"
,18,Sam Galanek,,1B/P,R/R,6-1,187,Jr.,"Atlanta, Ga. / Marist School"
,19,Christian Baumann,,P,L/L,6-2,180,Jr.,"New York, N.Y. / Berkeley Carroll School"
,20,Brady LeSher,,3B,R/R,6-0,170,So.,"West Des Moines, Iowa / Valley"
,21,Alex Asawa,,P,R/L,5-10,185,So.,"Rancho Palos Verdes, Calif. / Palos Verdes Peninsula"
,22,Cody Takabuki,,P/2B,R/R,6-0,180,Fr.,"Kailua, Hawaii / Kailua"
,23,Chad Koehler,,C,R/R,5-10,155,Fr.,"Leesburg, Va. / Heritage"
,24,Shane Comiskey,,1B/P,R/L,6-2,175,Jr.,"Culver, Ind. / The Culver Academies"
,25,Ben Spencer,,OF,R/R,6-2,205,Fr.,"Marietta, Ga. / George Walton"
,26,Andrew Shults,,OF,S/R,5-10,175,So.,"South Pasadena, Calif. / South Pasadena"
,27,Ryan Rosol,,OF,R/R,6-1,190,So.,"Phoenix, Ariz. / Boulder Creek"
,29,Sam LaMotte,,P,R/R,5-11,155,Fr.,"Gurnee, Ill. / Warren Township"
,30,Vince Reilly,,1B,R/R,5-11,190,So.,"Encinitas, Calif. / Santa Fe Christian Academy"
,31,Jack Hager,,3B/OF,R/R,6-2,180,Fr.,"Winfield, Ill. / IMG Academy"
,32,Gabriel Shubert,,P,L/R,5-9,145,Fr.,"La Mesa, Calif. / West Hills"
,33,Julian Cabrera,,C,R/R,6-0,190,So.,"Pembroke Pines, Fla. / University School Nova University"
,35,Noah Mathews,,P,R/R,6-0,180,Sr.,"New York, N.Y. / Beacon School"
,36,Matt Hammond,*,C,R/R,5-11,178,Sr.,"Post Falls, Idaho / Post Falls"
,41,Jay Goldsher,,P,R/L,5-9,180,Jr.,"Highland Park, Ill. / Highland Park"
,42,Ben Binversie,*,P,R/R,5-11,190,Sr.,"Mequon, Wis. / Homestead"
,44,Jacob Morsch,,P,R/R,6-0,160,Fr.,"Hinckley, Ill. / Hinckley-Big Rock"
,45,Charles Carr,,P,R/R,6-1,180,So.,"Pacific Palisades, Calif. / Palisades Charter"
