""
IMAGE,NO.,NAME,CAPTAIN,POS.,B/T,HT.,WT.,YR.,HOMETOWN / HIGH SCHOOL
,2,Jake Reck,,C,R/R,6-2,175,So.,"Windsor Heights, Iowa / West Des Moines Valley"
,3,Garrett Nasif,,P/SS,R/R,6-2,172,So.,"La Mesa, Calif. / St. Augustine"
,4,Josh Fournier,,IF,R/R,5-11,180,So.,"Mililani, Hawaii / Iolani School"
,5,Cole Philpott,,C,R/R,5-10,170,Fr.,"Bethesda, Md. / Bethesda Chevy Chase"
,6,Neill Natori,,P,L/L,6-0,175,Fr.,"Honolulu, Hawaii / Iolani School"
,7,Carter Shedd,,P,R/R,6-4,211,Fr.,"Dallas, Texas / Greenhill School"
,8,Cam Haaland,,P,R/R,6-0,165,Fr.,"Chanhassen, Minn. / Minnetonka"
,9,Mac McCain,,IF,R/R,6-3,195,Fr.,"Woodinville, Wash. / Woodinville"
,10,Josh Witte,,P,R/R,6-3,230,So.,"Houston, Texas / Memorial Senior"
,11,Michael Flaherty,,IF/OF,R/R,6-3,215,Fr.,"London, England / American School"
,12,Sean Tashjian,,OF/1B,L/L,5-11,190,Fr.,"Longmeadow, Mass. / Suffield Academy"
,13,Ethan Crawford,,C,R/R,6-0,195,Fr.,"Tiburon, Calif. / Redwood"
,15,Ryan Jungers,,P,R/R,5-11,175,So.,"Lincoln, Neb. / Lincoln Southwest"
,16,Simon Lane,,P,R/R,5-10,170,Jr.,"Hinsdale, Ill. / Hinsdale Township Central"
,17,Ben Cerrato,,P,R/R,5-9,192,Fr.,"Exeter, N.H. / Exeter Area"
,18,Will Richman,*,OF,R/R,6-0,180,Sr.,"Carmel, Ind. / Brebeuf Jesuit Preparatory School"
,19,Ian Feld,,P,R/R,6-1,190,Fr.,"University City, Mo. / University City"
,20,Nathan McCurdy,,SS,R/R,6-2,190,Fr.,"Alamo, Calif. / Athenian School"
,21,Brad Carlton,,P,L/R,6-1,210,Fr.,"Riverbank, Calif. / Inderkum"
,22,Kenji Kajita,,P,L/L,5-5,147,Fr.,"Akishima, Japan / Keimei Gakuen"
,23,Jake Hull,,P/@B,R/R,6-3,180,So.,"Grinnell, Iowa / Grinnell"
,24,Evan Borberg,,C/P,R/R,5-9,185,So.,"Lake Quivira, Kan. / Shawnee Mission Northwest"
,25,Ian Brown,,1B,R/R,6-6,240,So.,"Darien, Conn. / Greens Farms Academy"
,26,Kelton Watts,,C/1B,R/R,6-5,210,Fr.,"Bothell, Wash. / North Creek"
,27,Sean Richardson,,OF,R/R,5-7,170,So.,"San Marino, Calif. / San Marino"
,28,Danny Pocklington,,P,L/L,5-10,170,Jr.,"Arlington Heights, Ill. / Buffalo Grove"
,29,Ben Schwartz,,IF,R/R,6-3,185,So.,"Ames, Iowa / Ames"
,30,Ryan Albright,,C,R/R,6-0,185,Sr.,"Davie, Fla. / University School Nova University"
,31,Ryan Jack,,P,L/R,6-3,170,Sr.,"Davidsonville, Md. / Severn School"
,32,Jack Surdez,,P,R/R,6-1,170,Fr.,"Frederick, Md. / Frederick"
,33,Lucas Hadding,,OF,R/R,5-11,182,So.,"Gurnee, Ill. / Warren Township"
,34,Harry Barker-Fost,,OF,R/R,6-0,180,Jr.,"San Rafael, Calif. / Marin Academy"
,35,Shiva Bucklin,,1B,R/R,6-1,195,Sr.,"Palo Alto, Calif. / Gunn"
,36,Augie Ros,,P,R/R,5-10,180,Fr.,"Cambridge, Mass. / Matignon"
,37,Matthew Inaba,,OF,S/R,5-8,155,Sr.,"Honolulu, Hawaii / Iolani School"
,38,Clayton Burton,,C,R/R,6-1,210,Jr.,"Lake Forest, Ill. / Lake Forest"
,39,Ben Kelly,,IF,R/R,6-2,170,Fr.,"Peoria, Ill. / Peoria Notre Dame"
,40,Matthew Nakamoto,,OF,R/R,5-11,140,Fr.,"Honolulu, Hawaii / Iolani School"
,41,Jonathan Gottlieb,,3B/2B,R/R,5-11,181,Sr.,"Palo Alto, Calif. / Palo Alto"
,42,Alex Love,,P,R/R,6-2,175,Jr.,"Matthews, N.C. / Weddington"
,43,Jack Gillespie,,3B/OF,R/R,6-3,200,So.,"Antioch, Ill. / Antioch Community"
,44,Luke Langnes,,C,R/R,6-0,200,So.,"Anchorage, Alaska / West Anchorage"
,45,Nate L'Esperance,,OF,R/R,5-10,185,Jr.,"Wayland, Mass. / Wayland"
,46,Luke Porter,,1B,R/R,6-5,230,Jr.,"Seattle, Wash. / Lakeside School"
,49,Zachary Kennedy,,P,R/R,6-0,200,Fr.,"Plano, Texas / Greenhill School"
