""
IMAGE,NO.,NAME,CAPTAIN,POS.,B/T,HT.,WT.,YR.,HOMETOWN / HIGH SCHOOL
,2,Harry Barker-Fost,,OF,R/R,6-0,190,Sr.,"San Rafael, Calif. / Marin Academy"
,3,Garrett Nasif,,P/IF,R/R,6-2,178,Jr.,"La Mesa, Calif. / St. Augustine"
,4,Josh Fournier,,IF,R/R,5-11,180,Jr.,"Mililani, Hawaii / Iolani School"
,5,Cole Philpott,,C/OF,R/R,5-10,170,So.,"Bethesda, Md. / Bethesda Chevy Chase"
,6,Neill Natori,,P,L/L,6-0,180,So.,"Honolulu, Hawaii / Iolani School"
,7,Carter Shedd,,P,R/R,6-4,211,So.,"Dallas, Texas / Greenhill School"
,8,Cam Haaland,,P,R/R,6-0,165,So.,"Chanhassen, Minn. / Minnetonka"
,9,Mac McCain,,IF,R/R,6-3,195,So.,"Woodinville, Wash. / Woodinville"
,10,Ben Kelly,,IF,R/R,6-2,170,So.,"Peoria, Ill. / Peoria Notre Dame"
,11,Michael Flaherty,,IF,R/R,6-3,215,So.,"London, England / American School"
,12,Sean Tashjian,,OF/1B,L/L,5-11,190,So.,"Longmeadow, Mass. / Suffield Academy"
,13,Ethan Crawford,,C,R/R,6-0,215,So.,"Tiburon, Calif. / Redwood"
,15,Ryan Jungers,,P,R/R,5-11,175,Jr.,"Lincoln, Neb. / Lincoln Southwest"
,16,Simon Lane,,P,R/R,5-10,170,Sr.,"Hinsdale, Ill. / Hinsdale Township Central"
,17,Ben Cerrato,,P,R/R,5-9,192,So.,"Exeter, N.H. / Exeter Area"
,18,Kenji Kajita,,P,L/L,5-5,147,So.,"Akishima, Japan / Keimei Gakuen"
,19,Ian Feld,,P,R/R,6-1,190,So.,"University City, Mo. / University City"
,20,Nathan McCurdy,,IF,R/R,6-2,190,So.,"Alamo, Calif. / Athenian School"
,21,Brad Carlton,,P,L/R,6-1,210,So.,"Riverbank, Calif. / Inderkum"
,22,Jack Stoll,,IF,L/R,6-0,190,So.,"Lawrence, Kan. / Lawrence"
,23,Jake Hull,,P/2B,R/R,6-3,180,Jr.,"Grinnell, Iowa / Grinnell"
,24,Evan Borberg,,C/P,R/R,5-9,185,Jr.,"Lake Quivira, Kan. / Shawnee Mission Northwest"
,25,Ian Brown,,1B,R/R,6-6,240,Jr.,"Darien, Conn. / Greens Farms Academy"
,26,Kelton Watts,,C/1B,R/R,6-5,225,So.,"Bothell, Wash. / North Creek"
,27,Sean Richardson,,OF,R/R,5-7,170,Jr.,"San Marino, Calif. / San Marino"
,28,Danny Pocklington,,P,L/L,5-10,170,Sr.,"Arlington Heights, Ill. / Buffalo Grove"
,29,Ben Schwartz,,IF,R/R,6-3,215,Jr.,"Ames, Iowa / Ames"
,30,Nikolas Ruden,,IF,R/R,6-0,175,Fr.,"San Francisco, Calif. / International High School"
,31,Matthew Rosen,,OF/1B,R/R,6-2,240,Jr.,"Ojai, Calif. / Nordhoff"
,33,Lucas Hadding,,OF,R/R,5-11,182,Jr.,"Gurnee, Ill. / Warren Township"
,35,Connor Goodson,,P/1B,R/R,6-4,190,Fr.,"Norman, Okla. / Norman"
,36,Augie Ros,,P,R/R,5-10,180,So.,"Cambridge, Mass. / Matignon"
,37,Daniel Shaul,,P,R/L,6-0,190,Fr.,"La Jolla, Calif. / La Jolla Country Day School"
,39,Jakob Runkel,,P,L/L,5-11,185,Fr.,"Ambler, Pa. / Chestnut Hill Academy"
,40,Matthew Nakamoto,,OF,R/R,5-11,140,So.,"Honolulu, Hawaii / Iolani School"
,41,Grant Campbell,,OF,L/R,6-2,195,Fr.,"Wildwood, Mo. / Lafayette"
,42,Alex Love,,P,R/R,6-2,175,Sr.,"Matthews, N.C. / Weddington"
,43,Jack Gillespie,,OF/1B,R/R,6-3,200,Jr.,"Antioch, Ill. / Antioch Community"
,45,Nate L'Esperance,,OF,R/R,5-10,185,Sr.,"Wayland, Mass. / Wayland"
,46,Luke Porter,,1B,R/R,6-5,230,Sr.,"Seattle, Wash. / Lakeside School"
,47,Campbell Plishker,,P,R/R,6-0,210,Fr.,"Alexandria, Va. / T.C. Williams"
,48,Christopher Gulley,,OF,R/R,5-10,155,Fr.,"Lee's Summit, Mo. / Lee's Summit West"
,49,Bradyn Wishek,,1B,L/R,6-0,180,Fr.,"Claremont, Calif. / Webb School"
