""
IMAGE,NO.,NAME,CAPTAIN,POS.,B/T,HT.,WT.,YR.,HOMETOWN / HIGH SCHOOL
,2,Jake Reck,,C,R/R,6-2,160,Fr.,"Windsor Heights, Iowa / West Des Moines Valley"
,3,Garrett Nasif,,P/SS,R/R,6-2,160,Fr.,"La Mesa, Calif. / St. Augustine"
,4,Josh Fournier,,2B/SS/3B,R/R,5-10,165,Fr.,"Mililani, Hawaii / Iolani School"
,5,Cooper King,,1B,L/L,6-0,185,Sr.,"Des Moines, Wash. / Mount Rainier"
,6,Quinton McNitt,*,2B,L/R,5-11,195,Sr.,"Gainesville, Fla. / Buchholz"
,7,Riley Guieb,*,SS/OF,R/R,5-9,145,Sr.,"Honolulu, Hawaii / Punahou School"
,8,Nate Lu,,P,R/R,5-11,170,Sr.,"Pleasanton, Calif. / Dougherty Valley"
,9,Alex Lavery,,P,R/R,6-2,200,Sr.,"Oak Park, Ill. / Oak Park River Forest"
,10,Brock Weirather,*,P,R/R,6-1,215,Sr.,"Polk City, Fla. / All Saints Academy"
,11,Michael Flaherty,,IF/OF,R/R,6-3,190,Fr.,"London, England / American School"
,12,Justin Williams,*,C,R/R,6-3,205,Sr.,"Western Springs, Ill. / Lyons Township"
,13,Ryan Chang,*,P,R/R,5-11,195,Sr.,"Palo Alto, Calif. / Palo Alto"
,15,Ryan Jungers,,P,R/R,5-11,180,So.,"Lincoln, Neb. / Lincoln Southwest"
,16,Simon Lane,,P,R/R,5-10,170,So.,"Hinsdale, Ill. / Hinsdale Township Central"
,17,Zeke Taylor,,OF,R/R,6-0,180,Sr.,"Cambridge, Mass. / Cambridge Rindge and Latin School"
,18,Will Richman,*,P/OF,R/R,5-11,170,Jr.,"Carmel, Ind. / Brebeuf Jesuit Preparatory School"
,19,Ezra Pine,,P,R/R,6-2,210,Sr.,"Bethesda, Md. / Walt Whitman"
,20,Seth Bartusek,,P,L/R,6-2,170,Sr.,"Chicago, Ill. / Jones College Prep"
,21,Casey Hodgman,,2B/SS/3B,R/R,5-10,160,Fr.,"Middleton, Wis. / Middleton"
,22,Daniel Lubelfeld,,P,R/R,6-0,190,Sr.,"Buffalo Grove, Ill. / Adlai E. Stevenson"
,23,Jake Hull,,P/3B,R/R,6-4,190,Fr.,"Grinnell, Iowa / Grinnell"
,24,Evan Borberg,,C/P,R/R,5-9,175,Fr.,"Lake Quivira, Kan. / Shawnee Mission Northwest"
,25,Ian Brown,,1B/RF,R/R,6-6,270,Fr.,"Darien, Conn. / Greens Farms Academy"
,27,Sean Richardson,,2B/OF,R/R,5-7,150,So.,"San Marino, Calif. / San Marino"
,28,Danny Pocklington,,P,L/L,5-9,170,So.,"Arlington Heights, Ill. / Buffalo Grove"
,29,Ben Schwartz,,P/3B,R/R,6-3,185,Fr.,"Ames, Iowa / Ames"
,30,Ryan Albright,,C,R/R,6-0,185,Jr.,"Davie, Fla. / University School Nova University"
,31,Ryan Jack,,P,L/R,6-3,170,Jr.,"Davidsonville, Md. / Severn School"
,32,Josh Witte,,P,R/R,6-3,215,Fr.,"Houston, Texas / Memorial Senior"
,33,Lucas Hadding,,2B/OF,R/R,5-11,170,So.,"Gurnee, Ill. / Warren Township"
,34,Harry Barker-Fost,,C/OF,R/R,6-0,175,Jr.,"San Rafael, Calif. / Marin Academy"
,35,Shiva Bucklin,,1B/3B,R/R,6-0,220,Jr.,"Palo Alto, Calif. / Gunn"
,36,Jared Booth,,3B/SS,R/R,6-0,187,Sr.,"Mount Vernon, Iowa / Mount Vernon"
,37,Matthew Inaba,,OF,S/R,5-8,155,Jr.,"Honolulu, Hawaii / Iolani School"
,40,Ryan Moeller,,P,L/L,6-2,206,Sr.,"Mountain View, Calif. / St. Francis"
,41,Jonathan Gottlieb,,SS/2B,R/R,5-11,185,Jr.,"Palo Alto, Calif. / Palo Alto"
,42,Alex Love,,P,R/R,6-2,185,So.,"Matthews, N.C. / Weddington"
,43,Jack Gillespie,,3B/OF,R/R,6-3,185,So.,"Antioch, Ill. / Antioch Community"
,44,Luke Langnes,,C/3B,R/R,6-0,185,Fr.,"Anchorage, Alaska / West Anchorage"
,45,Nate L'Esperance,,OF,R/R,5-10,185,So.,"Wayland, Mass. / Wayland"
,46,Luke Porter,,1B/OF,R/R,6-2,185,So.,"Seattle, Wash. / Lakeside School"
,47,Quentin Jehn,,C,R/R,5-9,160,Fr.,"Wind Lake, Wis. / Waterford Union"
