Unnamed: 0,Athlete,Year,Time,Meet,Meet Date
,"Harvey, Ben",SR-4,4:04.81,Midwest Conference Outdoor Championship,"May 13, 2022"
,"Nickeson, Andrew",JR-3,4:05.19,Midwest Conference Outdoor Championship,"May 13, 2022"
,"Brotman, Eli",FR-1,4:18.15,Dick Young Invitational,"Apr 23, 2022"
,"Snyder, Daniel",SR-4,4:23.69,Monmouth College Fighting Scots Outdoor,"May 7, 2022"
,"Ramsey, Bradley",SO-2,4:24.59,Monmouth College Fighting Scots Outdoor,"May 7, 2022"
,"Williams, Carter",FR-1,4:25.69,Monmouth College Fighting Scots Outdoor,"May 7, 2022"
,"Cantor, Micah",SO-2,4:28.05,Mustang Open,"Apr 9, 2022"
,"Boev, Ryan",FR-1,4:30.41,Mustang Open,"Apr 9, 2022"
,"Krysan, Mark",FR-1,4:33.49,Mustang Open,"Apr 9, 2022"
,"Short, Ben",SO-2,4:40.93,Monmouth College Fighting Scots Outdoor,"May 7, 2022"
,"Rowekamp, Sam",SR-4,4:45.62,2022 Kip Janvrin Open,"Apr 28, 2022"
,"Israni, Neil",SR-4,5:27.37,Midwest Conference Outdoor Championship,"May 13, 2022"
