""
IMAGE,NO.,NAME,CAPTAIN,POS.,B/T,HT.,YR.,HOMETOWN / HIGH SCHOOL
,1,Elle Adams,,P/OF,R/R,5-7,Fr.,"Machesney Park, Ill. / Harlem"
,4,Abigail Thomson,,OF,R/R,5-3,Sr.,"Boston, Mass. / Boston Latin School"
,6,Lily Seibert,,2B/OF,R/R,5-9,Sr.,"New York, N.Y. / Polytech Prep Country Day"
,7,Emily Jordan,,C,R/R,5-5,Sr.,"Phoenix, Ariz. / Xavier College Preparatory"
,8,Leila Bishop-Parise,,OF,L/R,5-7,So.,"Reno, Nev. / Robert McQueen"
,9,Ashley Wehrenberg,,SS,R/R,5-5,Sr.,"Sacramento, Calif. / Pleasant Grove"
,10,Mikyla Murphy,,OF/1B,R/R,5-6,Sr.,"St. Joseph, MO. / Benton"
,11,Sidney Litke,,OF,R/R,5-8,Sr.,"Janesville, Wis. / George Parker"
,12,Maddie Matsubara,,2B/SS,R/R,5-7,Fr.,"Cypress, Calif. / John F. Kennedy"
,14,Haley Hoffman,,C/OF,R/R,5-4,So.,"St. Joseph, Mo. / Central"
,15,Mya Davis,,1B/MIF,R/R,5-8,So.,"Mesa, Ariz. / Red Mountain"
,16,Kaylie Eiden,,C,R/R,5-6,So.,"Mount Kisco, N.Y. / Horace Greeley"
,17,Maddie Draper,,P/3B,R/R,5-3,Fr.,"New York, N.Y. / Polytech Prep Country Day School"
,19,Darice Wheeler,,P/1B,R/L,5-6,So.,"Evanston, Ill. / Cushing Academy"
,20,Flynn Johnson,,1B/3B,R/R,5-7,So.,"Grayslake, Ill. / Carmel Catholic"
,21,Megan Gardner,,3B/C,R/R,5-11,Jr.,"Shoreview, Minn. / Mounds View"
