""
IMAGE,NO.,NAME,CAPTAIN,POS.,B/T,HT.,YR.,HOMETOWN / HIGH SCHOOL
,1,Bella Nesbeth,,OF,R/R,5-7,Jr.,"Morrisville, N.C. / Cary Academy"
,2,Asianah Gostyla,,OF/UT,,-,Fr.,"Marlborough, N.H. / Keene"
,3,Nicolette Parrott,,MIF,,5-3,Jr.,"Flossmoor, Ill. / Homewood-Flossmoor"
,4,Hannah Dykstra,,OF/UT,L/R,5-4,Sr.,"Corona, Calif. / Santiago"
,5,Elise Strohm,,P,,5-8,Fr.,"Geneva, Ill. / Geneva"
,8,Lane Kohler,,P/OF,R/R,5-8,Sr.,"Frisco, Texas / Dr. Justin Wakeland High"
,10,Leanna Guerra,,C,R/R,5-1,Fr.,"The Colony, Texas / Colony"
,11,Lindsey Schultz,,OF,L/L,5-4,So.,"Rochester, Minn. / Byron"
,12,Kala Bisterfeldt,,MIF,R/R,5-7,Fr.,"Caledonia, Mich. / Caledonia"
,13,Kayla O'Malley,,OF,R/R,5-6,Fr.,"Buffalo Grove, Ill. / Buffalo Grove"
,14,Emma Trani,,P,R/R,5-4,Jr.,"Wilmington, Calif. / Torrance"
,15,Ella Young,,P,,5-7,Fr.,"Chehalis, Wash. / WF West"
,17,Jasmine Oda,,IF,R/L,5-6,Sr.,"San Carlos, Calif. / Sequoia"
,18,Sofia DiCarlo,,IF,R/R,5-10,Sr.,"Highland, Calif. / Citrus Valley"
,20,Anne Becker,,C,R/R,5-8,Jr.,"West Harrison, Ind. / Franklin County"
,21,Lexi Herrick,,C,,5-8,Fr.,"Aurora, Ill. / Oswego East"
,22,Elyse Pender,,UT,R/R,5-10,So.,"Potomac, Md. / Winston Churchill"
