""
IMAGE,NO.,NAME,CAPTAIN,POS.,B/T,HT.,YR.,HOMETOWN / HIGH SCHOOL
,1,Bella Nesbeth,,OF,R/R,5-7,So.,"Morrisville, N.C. / Cary Academy"
,2,Alexa Okada,,IF,L/R,5-3,Sr.,"Waipahu, Hawaii / Punahou School"
,3,Emma DiGiacomo-Zahller,,UT,R/R,5-6,Sr.,"Arvada, Colo. / J.K. Mullen"
,4,Hannah Dykstra,,OF/UT,L/R,5-4,Jr.,"Corona, Calif. / Santiago"
,5,Lizzy Vermeulen,,C,R/R,5-5,Sr.,"Evergreen, Colo. / Evergreen"
,8,Lane Kohler,,P/OF,R/R,5-8,Jr.,"Frisco, Texas / Dr. Justin Wakeland High"
,11,Kathryn Vermeulen,,P/OF,R/R,5-5,Sr.,"Evergreen, Colo. / Evergreen"
,13,Kyra Killion,,C,R/R,5-3,Sr.,"Morton, Ill. / Morton"
,14,Emma Trani,,P,R/R,5-4,So.,"Wilmington, Calif. / Torrance"
,15,Christin Hartman,,P,R/R,5-8,Sr.,"Bettendorf, Iowa / Pleasant Valley"
,16,Lindsey Schultz,,OF,L/L,5-4,Fr.,"Rochester, Minn. / Byron"
,17,Jasmine Oda,,IF,R/L,5-6,Jr.,"San Carlos, Calif. / Sequoia"
,18,Sofia DiCarlo,,IF,R/R,5-10,Jr.,"Highland, Calif. / Citrus Valley"
,20,Anne Becker,,C,R/R,5-8,So.,"West Harrison, Ind. / Franklin County"
,22,Elyse Pender,,UT,R/R,5-10,Fr.,"Potomac, Md. / Winston Churchill"
,23,Taylor Durak,,OF,R/R,5-10,Sr.,"Joliet, Ill. / Joliet Township West"
,25,Baily Isaak,,IF/P,R/R,5-7,Fr.,"Laramie, Wyo. / Laramie"
,26,Kambria Anson,,OF,L/R,5-6,Sr.,"Chandler, Ariz. / Chandler"
,88,Samantha Chu,,IF,R/R,5-5,Sr.,"Redwood City, Calif. / Carlmont"
