""
IMAGE,NO.,NAME,CAPTAIN,POS.,B/T,HT.,YR.,HOMETOWN / HIGH SCHOOL
,2,Alexa Okada,,2B/OF,L/R,5-3,So.,"Waipahu, Hawaii / Punahou School"
,3,Emma DiGiacomo-Zahller,,3B/UT,R/R,5-6,So.,"Arvada, Colo. / J.K. Mullen"
,4,Hannah Dykstra,,OF/UT,L/R,5-4,Fr.,"Corona, Calif. / Santiago"
,5,Lizzy Vermeulen,,C/3B,R/R,5-5,So.,"Evergreen, Colo. / Evergreen"
,7,Sophie Weber,,UT,R/R,5-9,Fr.,"Carmel, Ind. / Brebeuf Jesuit Preparatory School"
,8,Lane Kohler,,P/OF,R/R,5-8,Fr.,"Frisco, Texas / Dr. Justin Wakeland High"
,10,Amanda Ramirez,,MIF/UT,R/R,5-6,Jr.,"Monterey Park, Calif. / Flintridge Sacred Heart Academy"
,11,Kathryn Vermeulen,,P/OF,R/R,5-5,So.,"Evergreen, Colo. / Evergreen"
,12,Emma Nelson,,OF,R/R,5-8,Jr.,"Stillwater, Minn. / Mahtomedi"
,13,Kyra Killion,,C/UT,R/R,5-3,So.,"Morton, Ill. / Morton"
,17,Jasmine Oda,,IF/P,R/L,5-6,Fr.,"San Carlos, Calif. / Sequoia"
,18,Sofia DiCarlo,,IF,R/R,5-10,Fr.,"Highland, Calif. / Citrus Valley"
,19,Maddy O'Bryan,,OF/P,R/R,5-4,So.,"Elkhorn, Neb. / Millard North"
,22,Mary Webb,,3B/UT,R/R,5-6,Jr.,"Elgin, Ill. / St. Charles North"
,23,Taylor Durak,,P/OF,R/R,5-10,So.,"Joliet, Ill. / Joliet Township West"
,26,Kambria Anson,,OF,L/R,5-6,So.,"Chandler, Ariz. / Chandler"
,88,Samantha Chu,,UT,R/R,5-5,So.,"Redwood City, Calif. / Carlmont"
