""
IMAGE,NO.,NAME,POS.,HT.,YR.,HOMETOWN / HIGH SCHOOL
,00,Valeriya Woodard,,-,So.,/
,1,Elinor Arneson,GK,5-7,Sr.,"Minneapolis, Minn. / Washburn"
,2,Allison Wehrman,M,5-6,Jr.,"Roseville, Minn. / Roseville Area"
,5,Maddie Beltramo,D,5-6,So.,"Schenectady, N.Y. / Niskayuna"
,6,Ella Hunt,D,5-10,Fr.,"Seattle, Wash. / James A. Garfield"
,7,Keiko Smith,F,5-6,So.,"Williamstown, Mass. / Hotchkiss School"
,8,Beya VanRheenen,D,5-7,Fr.,"Wayne, Pa. / Conestoga"
,9,Bethany McKinney,D,6-0,Fr.,"Port Washington, Wis. / Port Washington"
,10,Carlie Duus,F,5-3,Jr.,"Kansas City, Mo. / St. Teresa's Academy"
,11,Kate Nakamura,M,5-1,Fr.,"Honolulu, Hawaii / Mid Pacific Institute"
,13,Gia Sundaram,D,5-9,So.,"Pune, India / Millfield School Ltd."
,15,Jill Paladino,M,5-9,Sr.,"Downers Grove, Ill. / Downers Grove South"
,16,Tessa Leahy,D,5-2,So.,"Fayetteville, Ark. / Fayetteville"
,17,Tori Thomas,F,5-3,So.,"Crystal, Minn. / Robbinsdale Armstrong"
,18,Katie Carson,D,5-3,So.,"Arvada, Colo. / Arvada West"
,19,Megan Szalay,M,5-7,So.,"Urbandale, Iowa / West Des Moines Dowling Catholic"
,20,Jane March,D,5-4,Jr.,"Wellesley Hills, Mass. / Newton Country Day School"
,21,Reese Komsthoeft,M,5-3,So.,"La Grange, Ill. / Lyons Township North"
,22,Ramona Delborne,F,5-6,Fr.,"Raleigh, N.C. / William G. Enloe"
,23,Antarah Chopra,D,5-9,Sr.,"Burlingame, Calif. / Castilleja School"
,24,Giada Bambi,M,5-7,So.,"Madison, Wis. / West"
,25,Tali Berk,F,5-6,Jr.,"Brooklyn, N.Y. / LaGuardia High School of Music and Art"
,26,Amelia Dueñas,M,5-1,Fr.,"Quito, Ecuador / U.S. Embassy Quito"
