""
IMAGE,NO.,NAME,POS.,HT.,YR.,HOMETOWN / HIGH SCHOOL
,0,Hannah Malicky,GK,5-6,So.,"Mequon, Wis. / Homestead"
,1,Elizabeth Hunt,GK,6-0,Jr.,"Birmingham, Ala. / Indian Springs School"
,2,Simo Bambi,F,5-3,Sr.,"Madison, Wis. / West"
,3,Madeleine Dellinger,F,5-5,So.,"Boulder, Colo. / Fairview"
,4,Alyssa Radakovich,F,5-4,Jr.,"Oswego, Ill. / Oswego"
,5,Celeste Kaspar,D,5-7,Jr.,"Madison, Wis. / West"
,6,Samantha Reid,M,5-5,Fr.,"Seattle, Wash. / Nathan Hale"
,7,Valencia Alvarez,F,5-3,Sr.,"Yucaipa, Calif. / Yucaipa"
,8,Quinn Berleman-Paul,F,5-6,Jr.,"Oak Park, Ill. / Oak Park River Forest"
,9,Haley Reynolds,F,5-6,Jr.,"Downers Grove, Ill. / Downers Grove North"
,10,Crys Moosman,F,5-6,Jr.,"Driggs, Idaho / Teton"
,11,Lauren Ellingsberg,F,5-6,So.,"Tucson, Ariz. / University High"
,12,Ella Hennager,M,5-5,Fr.,"Iowa City, Iowa / City High"
,13,Maeve Tanona,F,5-9,Fr.,"Manhattan, Kan. / Manhattan"
,14,Julia Sheehan-Klenk,M,5-3,Fr.,"Madison, Wis. / West"
,15,Jill Paladino,M,5-9,Fr.,"Downers Grove, Ill. / Downers Grove South"
,16,Bailey McElligott,M,5-4,Fr.,"New York, N.Y. / Eleanor Roosevelt"
,17,Hope Nowak,D,5-4,So.,"Oak Park, Ill. / Oak Park River Forest"
,18,Anna Engelhardt,D,5-4,Jr.,"St. Paul, Minn. / Highland Park"
,19,Issy Schwiebert,D,5-5,Jr.,"Birmingham, Ala. / Indian Springs School"
,20,Emma Stefanacci,D,5-7,So.,"Denver, Colo. / George Washington"
,21,Cally Carr,D,5-6,Jr.,"New York, N.Y. / St. Ann's School"
,22,Esmé Kayim-Yanko,M,5-4,Jr.,"Minneapolis, Minn. / Great River School"
,23,Antarah Chopra,D,5-9,Fr.,"Burlingame, Calif. / Castilleja School"
,24,Lauren Edwards,D,5-7,Sr.,"Lincoln, Calif. / Lincoln"
,25,Marli Remash,M,5-5,Sr.,"Seattle, Wash. / Roosevelt"
,26,Jaden Neal,D,5-5,So.,"Minnetonka, Minn. / Minnetonka"
,27,Halle Remash,M,5-5,Sr.,"Seattle, Wash. / Roosevelt"
,30,Elinor Arneson,GK,5-6,Fr.,"Minneapolis, Minn. / Washburn"
