""
IMAGE,NAME,YR.,HOMETOWN / HIGH SCHOOL
,Henry Bridgers,So.,"Wellesley Hills, Mass. / Wellesley"
,Steven Chen,Jr.,"Tianjin, China / Tianjin Foreign Languages School"
,William Chhim,Fr.,"Des Moines, Iowa / East"
,Wilder Cooke,Fr.,"Tucson, Ariz. / Gregory School"
,Paul Elghouayel,So.,"New York, N.Y. / Bronx High School of Science"
,Leo Esztergomi,So.,"Bethesda, Md. / Walt Whitman"
,Jonah Gilmore,So.,"Holland, Mich / Holland"
,Andrew Haggerty,Fr.,"Wellesley Hills, Mass. / Commonwealth School"
,Simon Kennel,Jr.,"Rochester, Minn. / Mayo"
,Aiden Klass,Fr.,"Oak Park, Ill. / Oak Park River Forest"
,Karch Knoll,Fr.,"Waco, Texas / Vanguard"
,Bowen Mince,Sr.,"New Orleans, La. / Benjamin Franklin"
,Sam Rudenberg,Fr.,"San Diego, Calif. / La Jolla"
,Luka Shaker-Check,Fr.,"Minneapolis, Minn. / St. Paul Academy Summit School"
,Spencer Skidmore,So.,"Mountain Brook, Ala. / Altamont School"
,Graham Ward,Fr.,"Minnetonka, Minn. / Minnetonka"
,Charles Yung,So.,"Honolulu, Hawaii / Punahou School"
