""
IMAGE,NAME,YR.,HOMETOWN / HIGH SCHOOL
,Nick Alex,So.,"Hinsdale, Ill. / Hinsdale Township"
,Ben Cobin,So.,"St. Louis, Mo. / Ladue Horton Watkins"
,Michael Conlin-Brandenburg,Fr.,"St. Paul, Minn. / Mounds View"
,Arlo Detmer,So.,"Munster, Ind. / Munster"
,Pranjal Drall,So.,"New Delhi, India / Venkateshwar International School"
,Raghu Inturi,So.,"Shakopee, Minn. / Shakopee"
,Henry Johnson,So.,"Fairfield, Conn. / Fairfield Warde"
,George Kaslow,Fr.,"Port Washington, N.Y. / Paul D. Schreiber"
,Zach Lane,Jr.,"Pembroke Pines, Fla. / West Broward"
,Lucas LeDoux,Jr.,"Minneapolis, Minn. / Washburn"
,Edward Lopatto,So.,"Grinnell, Iowa / Grinnell"
,Jack Lunn,So.,"Lake Forest, Ill. / Lake Forest"
,Peter Sills,Sr.,"Brooklyn, N.Y. / Bard High School Early College"
,Sam Stickels,Jr.,"Fairfield, Iowa / Maharishi School of the Age of Enlightenment"
,Sriram Sugumaran,Fr.,"Bettendorf, Iowa / Pleasant Valley"
,Ishaan Tibrewal,Fr.,"Kolkata, India / Saint Xaviers Collegiate School"
