""
IMAGE,NAME,YR.,HOMETOWN / HIGH SCHOOL
,Albert Bostoen,Jr.,"Westport, Conn. / Greens Farms Academy"
,Caden Branum,Fr.,"Decorah, Iowa / Decorah"
,Juan Diego Carpio,Fr.,Peru / Colegio De La Immacula Jesuitas-Lima
,William Chhim,Sr.,"Des Moines, Iowa / East"
,Wilder Cooke,Sr.,"Tucson, Ariz. / Gregory School"
,Alex Doane,Fr.,"Honolulu, Hawaii / Punahou School"
,Matthew Johanson,Fr.,"Glendale, Ariz. /"
,Aiden Klass,Sr.,"Oak Park, Ill. / Oak Park River Forest"
,Karch Knoll,Sr.,"Waco, Texas / Vanguard"
,Aman Kothari,Fr.,"Mumbai, India / Laurel Springs School"
,Kaan Mac Donald,Fr.,"New York, N.Y. / Eleanor Roosevelt"
,Keegan McLaughlin,So.,"Norman, Okla. / Carl Albert"
,Henry Park,Fr.,"Mill Creek, Wash. / Henry M. Jackson"
,Sam Rudenberg,Sr.,"San Diego, Calif. / La Jolla"
,Anshul Satav,So.,"Pune, India / Namo Rims International School"
,Luka Shaker-Check,Sr.,"Minneapolis, Minn. / St. Paul Academy Summit School"
,Lucas Willett,Jr.,"Deerfield, Ill. / Deerfield"
,Jacob Young,So.,"San Francisco, Calif. / Saint Ignatius College Prep"
